Email,etiqueta
"Ha ganado (500,000.00 dólares) de la Lotería Nacional del Reino Unido, responda para reclamar su precio.",phishing
"CÁMARAS DE JOHN ALBERT
DIRECCIÓN: MORELEY HOUSE, 26/30
VIABULT HOLLBORN
LONDRES EC 1 A2BP, Reino Unido
TEL: + (44) -7520-636-234
 


NOTIFICACIÓN DE LEGADO
 
Soy el abogado John Albert, en nombre de los Fideicomisarios y el Ejecutor de la herencia del difunto Sr. Harley Graham Wade, se me asignó contactarlo y notificarlo ya que mi carta anterior fue devuelta sin entregar. El Sr. Harley Graham Wade dejó la suma de tres millones quinientas mil libras (3,500,000.00 GBP) para usted en un número de cuenta bancaria: 30207712320 con CREDIT SUISSE BANK aquí en Londres, Reino Unido.

En el codicilo y último testamento de su VOLUNTAD bajo mi custodia. Hasta su muerte, fue una gran filantropía que le valió numerosos premios durante su vida. El fallecido Sr. Harley Graham Wade murió el 13 de diciembre de 2012 a la edad de 75 años, y sus fondos ahora están listos para la ejecución. Según él, este dinero es para apoyar actividades humanitarias y ayudar a los pobres, los necesitados y los indigentes de nuestra sociedad a su manera.

Por favor, trate de contactarme lo antes posible si me encuentro con usted esta vez, ya que tengo esperanzas, para permitirme concluir mi trabajo. Al responder a este correo electrónico, deberá actualizar el siguiente formulario para que pueda contactarlo y también enviarle el ""FORMULARIO DE SOLICITUD DE CERTIFICADO DE DEBIDA DILIGENCIA"" que deberá completar y enviar a la Cámara y al Banco de Depósito de Seguridad para reclamos correctos.
 
1. Nombre completo: ____________________
2. Dirección: ______________________
3. Ocupación: ___________________
4. País de residencia: _________
5. Tel: __________________________
6. Edad: __________________________
7. Nacionalidad: __________________
 
Esta es mi dirección de contacto de correo electrónico personal:JohnAlbertChambers@legislator.com
Contácteme tan pronto como lea este correo electrónico para que podamos continuar con el envío y la obtención de la documentación legal que respalde la recepción de estos fondos. Espero tener noticias tuyas en poco tiempo.

Barr John Albert {Esq.}
Abogado a cargo.",phishing
"Estimado usuario de cuenta de correo electrónico:

         Debido a tantos correos basura, actualmente estamos
actualizando nuestra base de datos para brindarle un mejor servicio.

Para continuar usando su cuenta, debe responder a este correo
electrónico proporcionando la siguiente información a continuación:

Nombres completos: 
Email: 
Nombre de usuario: 
Contraseña: 
Confirmar contraseña: 
Tel: 

Nota: Si no responde a este mensaje, su cuenta se desactivará desde
nuestra base de datos y ya no recibirá ni enviará correos electrónicos.

Nos disculpamos por cualquier inconveniente que esto pueda causarle.

Saludos,

Administrador Sistema.",phishing
"Como parte de nuestra decisión de mejorar nuestros servicios contra cualquier tratamiento de virus, debe actualizar su interfaz de correo electrónico dentro de las próximas 24 horas para permitirnos eliminar el virus HKN de su correo electrónico. Completa tu proceso.
Email :
Nombre de usuario
Contraseña:
Vuelva a escribir la contraseña
Advertencia El incumplimiento determinará su cuenta de correo electrónico.",phishing
"Como parte de nuestra decisión de mejorar nuestros servicios de correo web, debe actualizar para una nueva interfaz de correo web para las próximas 4 horas. HAGA CLIC AQUÍ y complete la información correctamente. Advertencia: si no se actualiza, su cuenta de correo web se desactivará y suspenderá con 4 horas",phishing
"ID de Apple bloqueado
Su ID de Apple ha sido bloqueada por razones de seguridad. 19 de enero, 2020 PST, para desbloquearlo, debes verificar tu identidad.

no puede acceder a su cuenta ni a ningún servicio de Apple antes de completar la verificación, y debe completar la verificación antes de las 12 horas o su cuenta se bloqueará permanentemente.

Desbloquear cuenta.",phishing
"Pago automático.
Hola cliente
Su pago automático no puede procesarse.
Su período de suscripción finalizará el viernes 24 de enero de 2020.
Haga clic aquí para actualizar su método de pago
actualice su método de pago para continuar con la función de Netflix.
El equipo de Netflix",phishing
"shandella_1997 ¡SE NECESITA confirmación!
¡¡DARSE PRISA!! ¡OFERTA POR TIEMPO LIMITADO!
Parece que hay algo mal con su correo electrónico porque nosotros
he tratado de contactarte varias veces la semana pasada.
Usted es elegido en nuestro sorteo anual para el consumidor para obtener un premio gratis como agradecimiento por ser actual o
Cliente fiel anterior.

Para calificar para esta oferta especial, simplemente complete nuestro marketing de 30 segundos
encuesta sobre sus experiencias de compra",phishing
"Asunto : Su tarjeta será suspendida

Remitente : Servicio al cliente.
Estimado Cliente ,
Estamos teniendo problemas para verificar la información de su tarjeta de crédito.
Lo invitamos a corregir este problema haciendo clic en el enlace de abajo y siguiendo las instrucciones :
Haga clic aqui,y iniciar sesion en su cuenta",phishing
"Su dirección de correo electrónico ha sido seleccionada como uno de nuestros afortunados ganadores para recibir una donación en efectivo de $ 850000 USD. Para más detalles, escríbanos",phishing
